page,locale,country,device,browser,browser_version,engine,engine_version,os,os_version,timestamp
/,en-GB,DE,,Chrome,105.0.0.0,Blink,105.0.0.0,Mac OS,10.15.7,2022-09-23T13:44:25.311Z
/,en-GB,DE,,Chrome,105.0.0.0,Blink,105.0.0.0,Mac OS,10.15.7,2022-09-23T14:11:31.208Z
/,en-GB,DE,,Chrome,105.0.0.0,Blink,105.0.0.0,Mac OS,10.15.7,2022-09-23T14:11:34.639Z
