page,locale,country,device,browser,browser_version,engine,engine_version,os,os_version,timestamp
/,en-GB,DE,mobile,Chrome,108.0.0.0,Blink,108.0.0.0,Android,10,2022-12-21T21:08:46.131Z
/success.html,en-GB,DE,mobile,Chrome,108.0.0.0,Blink,108.0.0.0,Android,10,2022-12-21T21:09:05.088Z
