page,locale,country,device,browser,browser_version,engine,engine_version,os,os_version,timestamp
/,en-GB,DE,,Chrome,108.0.0.0,Blink,108.0.0.0,Mac OS,10.15.7,2022-12-20T18:08:23.982Z
/,en-GB,DE,,Chrome,108.0.0.0,Blink,108.0.0.0,Mac OS,10.15.7,2022-12-20T18:08:54.729Z
