page,locale,country,device,browser,browser_version,engine,engine_version,os,os_version,timestamp
/,en-GB,NL,mobile,Mobile Safari,15.5,WebKit,605.1.15,iOS,15.5,2022-10-02T18:17:11.456Z
/,en-GB,NL,mobile,Mobile Safari,15.5,WebKit,605.1.15,iOS,15.5,2022-10-02T18:24:45.800Z
