page,locale,country,device,browser,browser_version,engine,engine_version,os,os_version,timestamp
/,en-GB,DE,,Chrome,108.0.0.0,Blink,108.0.0.0,Mac OS,10.15.7,2022-12-06T22:01:54.110Z
/,en-GB,DE,,Chrome,108.0.0.0,Blink,108.0.0.0,Mac OS,10.15.7,2022-12-06T23:41:49.174Z
/,en-GB,DE,,Chrome,108.0.0.0,Blink,108.0.0.0,Mac OS,10.15.7,2022-12-06T23:47:51.797Z
/,en-GB,DE,,Chrome,108.0.0.0,Blink,108.0.0.0,Mac OS,10.15.7,2022-12-06T23:58:14.756Z
/,en-GB,DE,,Chrome,108.0.0.0,Blink,108.0.0.0,Mac OS,10.15.7,2022-12-07T00:01:00.526Z
/,en-GB,DE,,Chrome,108.0.0.0,Blink,108.0.0.0,Mac OS,10.15.7,2022-12-07T00:30:10.281Z
