page,locale,country,device,browser,browser_version,engine,engine_version,os,os_version,timestamp
/,en-GB,DE,,Chrome,105.0.0.0,Blink,105.0.0.0,Mac OS,10.15.7,2022-09-21T17:28:28.511Z
/,en-GB,DE,,Chrome,105.0.0.0,Blink,105.0.0.0,Mac OS,10.15.7,2022-09-21T23:00:55.038Z
/,en-GB,DE,,Chrome,105.0.0.0,Blink,105.0.0.0,Mac OS,10.15.7,2022-09-22T11:46:24.711Z
/,en-GB,DE,,Chrome,105.0.0.0,Blink,105.0.0.0,Mac OS,10.15.7,2022-09-22T11:46:58.040Z
