page,locale,country,device,browser,browser_version,engine,engine_version,os,os_version,timestamp
/success.html,en-GB,DE,,Chrome,108.0.0.0,Blink,108.0.0.0,Mac OS,10.15.7,2022-12-11T21:41:12.015Z
/,en-GB,DE,,Chrome,108.0.0.0,Blink,108.0.0.0,Mac OS,10.15.7,2022-12-11T22:19:06.044Z
/,en-GB,DE,,Chrome,108.0.0.0,Blink,108.0.0.0,Mac OS,10.15.7,2022-12-11T22:19:11.862Z
