page,locale,country,device,browser,browser_version,engine,engine_version,os,os_version,timestamp
/,en-GB,DE,,Chrome,106.0.0.0,Blink,106.0.0.0,Mac OS,10.15.7,2022-10-10T22:45:43.189Z
/,en-GB,DE,,Chrome,106.0.0.0,Blink,106.0.0.0,Mac OS,10.15.7,2022-10-10T22:45:51.000Z
